zahlio,4/7/14 20:31,9994,4,17,
hugbotty,0,8,0,0,
diojr1,0,5,2,5,
silverskellingtonkeys,08-04-2014 16:38:58,7,0,0,
thstardust,08-04-2014 14:25:07,99505,2,3,
loolzax,08-04-2014 16:55:30,4,0,1,
lateemo,08-04-2014 16:14:07,11,1,1,
staneleven,08-04-2014 16:21:07,1,0,0,
nightbot,0,3,0,0,
jojokbh,11-09-2013 23:17:12,1,0,0,
mackkee,08-04-2014 14:43:38,1,0,0,
qrisco,06-04-2014 17:06:29,16,1,2,
add_me_on_lol_tronerxx,09-04-2014 19:48:20,2,0,0,
kablewithak,08-04-2014 17:25:55,1,0,0,
mikehuntiscrispy,0,0,0,0,
kevin99xx,08-04-2014 17:20:08,1,0,0,
euth0s,07-04-2014 22:50:39,14,1,0,
slankyorsomethinglikethat,08-04-2014 14:52:21,7,1,0,
dragonborn1998,08-04-2014 16:53:18,1,0,1,
gamallkall,08-04-2014 17:20:16,2,1,0,
johnkochdk,07-04-2014 20:47:24,2,0,0,
neckfreman,07-04-2014 23:01:42,1,0,0,
jlesc,0,0,0,0,
hoanex,0,0,0,0,
julla15,0,0,0,0,
palka008,10-04-2014 18:47:05,2,0,0,
itchycamel,05-04-2014 16:53:29,7,0,0,
jimmibaas,0,0,0,0,
minimobman,08-04-2014 17:07:38,1,0,0,
dohrn,08-04-2014 15:37:31,1,0,0,
imwestin,10-04-2014 19:08:36,2,0,0,
noob_killa,0,0,0,0,
special_elite,06-04-2014 16:59:54,1,0,0,
skaterstorken,08-11-2013 20:04:45,8,0,0,
fedesvinlol,08-04-2014 16:54:31,4,1,0,
lassestream,06-04-2014 15:42:06,1,0,1,
elrussianbear,08-04-2014 15:14:37,3,0,0,
silas62,08-04-2014 16:21:34,1,0,1,
squidward1337,08-04-2014 16:00:03,7,1,1,
sjapper80,06-04-2014 17:08:27,1,0,0,
tipsoxd,10-04-2014 19:37:34,2,0,0,
rizbow,06-04-2014 16:37:35,2,0,0,
tysegall,07-04-2014 23:03:59,2,0,0,
madmiidget,08-04-2014 16:23:38,1,0,0,
monaldo88,08-04-2014 15:11:36,1,0,0,
darksonic787,0,0,0,0,
zeus0101,0,0,0,0,
sarupdabeast,10-04-2014 19:38:16,1,0,0,
makubex77,07-04-2014 20:53:53,2,0,0,
sir_reyfuss101,08-04-2014 14:58:22,1,0,1,
bvavilov,0,0,0,0,
manvydux,07-04-2014 21:11:31,1,0,0,
eaglefighter28,0,0,0,0,
jomboname,06-04-2014 16:12:19,2,0,0,
jonas_twitch,06-04-2014 16:12:53,1,0,0,
sobytza,08-04-2014 16:43:35,2,0,1,
napicheese,04-04-2014 17:00:43,3,1,0,
onnowoot,04-04-2014 16:21:11,1,0,0,
vocalstorage,08-04-2014 14:56:22,2,2,0,
jetthegamer,07-11-2013 20:56:36,1,0,0,
mryiy,08-04-2014 17:26:45,2,0,0,
flamingdodo,08-04-2014 16:55:55,3,0,0,
aismanne,08-04-2014 17:30:30,0,0,1,
zatcheyron,08-04-2014 17:30:21,1,0,2,
ty38,0,0,0,0,
adrennk,0,0,0,0,
darkangeldk,08-04-2014 16:13:25,1,0,0,
deerjason,0,0,0,0,
altoevo,0,0,0,0,
godzillaboss,06-04-2014 15:14:48,6,0,1,
seraphxstray,0,0,0,0,
volodia1290,0,0,0,0,
paper92,08-04-2014 15:17:42,1,0,0,
bhzy,0,0,0,0,
mjaf86,0,0,0,0,
eagle933,0,0,0,0,
itsgoodday2die,0,0,0,0,
lanzura,0,0,0,0,
jordor98,0,0,0,0,
n14shon,0,0,0,0,
whiterabbitgg,10-04-2014 21:05:16,14,1,0,
ecgsix3,0,1,0,0,
kboohm,0,1,0,0,
tjomii,06-04-2014 16:57:07,2,0,0,
mymackpack,0,0,0,0,
thornyheart,06-04-2014 15:53:57,2,0,0,
gnomeshizz,0,0,0,0,
malafor,0,1,0,0,
xdfelipe2,0,0,0,0,
imeyhoff,10-04-2014 21:20:58,2,1,0,
computer_hard,06-04-2014 15:19:31,2,0,0,
battlemoon1,0,0,0,0,
hstokky,08-04-2014 15:36:26,2,0,0,
jolleh42,08-04-2014 15:42:52,1,0,0,
monsterjudge,08-04-2014 16:15:30,1,0,0,
jeeroylenkins_,0,0,0,0,
dedera97,08-04-2014 17:20:17,1,0,0,
twosidedcoin,0,0,0,0,
dragejaegeren,08-04-2014 15:16:57,1,0,0,
nantrox,08-04-2014 16:16:41,1,0,0,
fred436c,10-04-2014 21:23:45,1,0,0,
nurk331,0,0,0,0,
kylurrrr,0,0,0,0,
jones1901,0,0,0,0,
easyrapin,0,0,0,0,
laursens,08-04-2014 17:23:34,1,0,0,
muwsie,0,0,0,0,
crossgenesis,0,0,0,0,
feni12,0,0,0,0,
mcguire13823,0,0,0,0,
